unique_id,workshop_id,sn_type,sn_id,sn_content,sn_clean,sn_token,sn_token_str,compound_s,positive_s,negative_s,neutral_s
A1_G1,A1,G,G1,Motivation is through satisfaction of becoming educated and skilled at the game.,motivation is through satisfaction of becoming educated and skilled at the game,"['motivation', 'satisfaction', 'educate', 'skilled', 'game']",motivation satisfaction educate skilled game,0.6486,0.34600000000000003,0.0,0.654
A1_G2,A1,G,G2,video game,video game,"['video', 'game']",video game,0.0,0.0,0.0,1.0
A1_G3,A1,G,G3,"Agree / Disagree to various situations.  Time limit to increase entertainement / replayability, but long enough to allow for a proper analysis.",agree disagree to various situations time limit to increase entertainement replayability but long enough to allow for a proper analysis,"['agree', 'disagree', 'situation', 'time', 'limit', 'increase', 'entertainement', 'replayability', 'long', 'allow', 'proper', 'analysis']",agree disagree situation time limit increase entertainement replayability long allow proper analysis,0.4497,0.244,0.076,0.679
A1_G4,A1,G,G4,"empathy, understanding, compassion, wonder,",empathy understanding compassion wonder,"['empathy', 'understand', 'compassion', 'wonder']",empathy understand compassion wonder,0.4588,0.5,0.0,0.5
A1_G5,A1,G,G5,Depending on actions there will be an outcome of lower / higher scores.,depending on actions there will be an outcome of lower higher scores,"['depend', 'action', 'outcome', 'low', 'high', 'score']",depend action outcome low high score,-0.29600000000000004,0.0,0.16699999999999998,0.833
A1_G6,A1,G,G6,"Levels, once a tutorial is finished",levels once a tutorial is finished,"['level', 'tutorial', 'finish']",level tutorial finish,0.0,0.0,0.0,1.0
A2_G1,A2,G,G1,"Motivation sustained through points / winning Forced to play the game, motivated by not getting fired.",motivation sustained through points winning forced to play the game motivated by not getting fired,"['motivation', 'sustain', 'point', 'win', 'force', 'play', 'game', 'motivate', 'not', 'getting', 'fire']",motivation sustain point win force play game motivate not getting fire,0.8786,0.541,0.115,0.345
A2_G2,A2,G,G2,Multi-level,multi level,"['multi', 'level']",multi level,0.0,0.0,0.0,1.0
A2_G3,A2,G,G3,Card Game,card game,"['card', 'game']",card game,0.0,0.0,0.0,1.0
A2_G4,A2,G,G4,Taking / discarding cards sixty seconds per action Feedback through points (each action has some number of points),taking discarding cards sixty seconds per action feedback through points each action has some number of points,"['take', 'discard', 'card', 'second', 'action', 'feedback', 'point', 'action', 'number', 'point']",take discard card second action feedback point action number point,-0.1027,0.07200000000000001,0.094,0.833
A2_G5,A2,G,G5,Anger and Competiteveness,anger and competiteveness,"['anger', 'competiteveness']",anger competiteveness,-0.5719,0.0,0.649,0.35100000000000003
A2_G6,A2,G,G6,Outcomes: Accumulation of points Eligibility to continue training,outcomes accumulation of points eligibility to continue training,"['outcome', 'accumulation', 'point', 'eligibility', 'continue', 'train']",outcome accumulation point eligibility continue train,0.0,0.0,0.0,1.0
A3_G1,A3,G,G1,"levels based on comfort, on self-evaluated literacy on anti-racism topics. Yes.",levels based on comfort on self evaluated literacy on anti racism topics yes,"['level', 'base', 'comfort', 'self', 'evaluate', 'literacy', 'anti', 'racism', 'topic', 'yes']",level base comfort self evaluate literacy anti racism topic yes,-0.29600000000000004,0.252,0.311,0.43700000000000006
A3_G2,A3,G,G2,"curiosity, resentment, guilt, hope, pain, sadness, anger, solidarity, optimism",curiosity resentment guilt hope pain sadness anger solidarity optimism,"['curiosity', 'resentment', 'guilt', 'hope', 'pain', 'sadness', 'anger', 'solidarity', 'optimism']",curiosity resentment guilt hope pain sadness anger solidarity optimism,-0.743,0.35100000000000003,0.608,0.040999999999999995
A3_G3,A3,G,G3,serious game,serious game,['game'],game,-0.0772,0.0,0.565,0.435
A3_G4,A3,G,G4,They can talk or pass notes to each other;,they can talk or pass notes to each other,"['talk', 'pass', 'note']",talk pass note,0.0,0.0,0.0,1.0
A3_G5,A3,G,G5,Choosing the direction the game goes; They will be able to see how certain actions lead to communication breakdown while others lead to better problem solving.,choosing the direction the game goes they will be able to see how certain actions lead to communication breakdown while others lead to better problem solving,"['choose', 'direction', 'game', 'go', 'able', 'certain', 'action', 'lead', 'communication', 'breakdown', 'lead', 'well', 'problem', 'solve']",choose direction game go able certain action lead communication breakdown lead well problem solve,0.5719,0.231,0.084,0.685
A3_G6,A3,G,G6,"Cool if players could see what happens when communicaton breaks down; To sustain motivation we offer resources as the game progresses; The game starts with many limitations, for example with communication or language. Perhaps only communicating with notes or with a  limitation on what words you can use. Or you can only talk to specific people. but in another stage of the game communication can be more free between players.",cool if players could see what happens when communicaton breaks down to sustain motivation we offer resources as the game progresses the game starts with many limitations for example with communication or language perhaps only communicating with notes or with a limitation on what words you can use or you can only talk to specific people but in another stage of the game communication can be more free between players,"['cool', 'player', 'happen', 'communicaton', 'break', 'sustain', 'motivation', 'offer', 'resource', 'game', 'progress', 'game', 'start', 'limitation', 'example', 'communication', 'language', 'communicate', 'note', 'limitation', 'word', 'use', 'talk', 'specific', 'people', 'stage', 'game', 'communication', 'free', 'player']",cool player happen communicaton break sustain motivation offer resource game progress game start limitation example communication language communicate note limitation word use talk specific people stage game communication free player,0.7677,0.109,0.021,0.87
A4_G1,A4,G,G1,"very serious game ""civilization"" game simulation game SIMS game GTA game",very serious game civilization game simulation game sims game gta game,"['game', 'civilization', 'game', 'simulation', 'game', 'sims', 'game', 'gta', 'game']",game civilization game simulation game sims game gta game,-0.1513,0.0,0.13699999999999998,0.863
A4_G2,A4,G,G2,discomfort anger sadness controversial decision making sense of community clarity,discomfort anger sadness controversial decision making sense of community clarity,"['discomfort', 'anger', 'sadness', 'controversial', 'decision', 'make', 'sense', 'community', 'clarity']",discomfort anger sadness controversial decision make sense community clarity,-0.8176,0.14300000000000002,0.593,0.265
A4_G3,A4,G,G3,different parts missions stars badges that allow you to play certain parts (like in the real world),different parts missions stars badges that allow you to play certain parts like in the real world,"['different', 'part', 'mission', 'star', 'badge', 'allow', 'play', 'certain', 'part', 'like', 'real', 'world']",different part mission star badge allow play certain part like real world,0.7845,0.406,0.0,0.594
A4_G4,A4,G,G4,Unlock more characters to play Multiple currencies (Not just money) Social Exchange Make it mandatory as part of training,unlock more characters to play multiple currencies not just money social exchange make it mandatory as part of training,"['unlock', 'character', 'play', 'multiple', 'currency', 'not', 'money', 'social', 'exchange', 'mandatory', 'training']",unlock character play multiple currency not money social exchange mandatory training,0.4522,0.18899999999999997,0.0,0.8109999999999999
A4_G5,A4,G,G5,"Definitely have feedback, resources at risk Players themselves decide what actions are available and costs",definitely have feedback resources at risk players themselves decide what actions are available and costs,"['definitely', 'feedback', 'resource', 'risk', 'player', 'decide', 'action', 'available', 'cost']",definitely feedback resource risk player decide action available cost,0.1531,0.152,0.11800000000000001,0.73
A5_G1,A5,G,G1,at the end you review your decisions and analyse yourself and understand own bias,at the end you review your decisions and analyse yourself and understand own bias,"['end', 'review', 'decision', 'analyse', 'understand', 'bias']",end review decision analyse understand bias,-0.1027,0.0,0.09699999999999999,0.903
A5_G2,A5,G,G2,helping or not helping,helping or not helping,"['help', 'not', 'help']",help not help,0.0803,0.361,0.31,0.32899999999999996
A5_G3,A5,G,G3,many levels,many levels,['level'],level,0.0,0.0,0.0,1.0
A5_G4,A5,G,G4,having fun,having fun,"['have', 'fun']",have fun,0.5106,0.767,0.0,0.233
A5_G5,A5,G,G5,Roleplay,roleplay,['roleplay'],roleplay,0.0,0.0,0.0,1.0
A5_G6,A5,G,G6,winning,winning,['win'],win,0.5267,1.0,0.0,0.0
A5_G7,A5,G,G7,peace,peace,['peace'],peace,0.5423,1.0,0.0,0.0
A5_G8,A5,G,G8,Levels,levels,['level'],level,0.0,0.0,0.0,1.0
A5_G9,A5,G,G9,fear,fear,['fear'],fear,-0.4939,0.0,1.0,0.0
A5_G10,A5,G,G10,Empathy,empathy,['empathy'],empathy,0.0,0.0,0.0,1.0
A5_G11,A5,G,G11,compassion,compassion,['compassion'],compassion,0.4588,1.0,0.0,0.0
A6_G1,A6,G,G1,illustrative/visuals and people's interpretations based game,illustrative visuals and people s interpretations based game,"['illustrative', 'visual', 'people', 's', 'interpretation', 'base', 'game']",illustrative visual people s interpretation base game,0.0,0.0,0.0,1.0
A6_G2,A6,G,G2,"motivation: mandatory, recurring",motivation mandatory recurring,"['motivation', 'mandatory', 'recur']",motivation mandatory recur,0.4019,0.787,0.0,0.213
A6_G3,A6,G,G3,see an idea/image first and then everyone gives opinion on it,see an idea image first and then everyone gives opinion on it,"['idea', 'image', 'give', 'opinion']",idea image give opinion,0.0,0.0,0.0,1.0
A6_G4,A6,G,G4,"different levels, different parts, evolving",different levels different parts evolving,"['different', 'level', 'different', 'part', 'evolve']",different level different part evolve,0.0,0.0,0.0,1.0
A6_G5,A6,G,G5,"motivation: game should be engaging, game should be well produced/cool/designed",motivation game should be engaging game should be well produced cool designed,"['motivation', 'game', 'engage', 'game', 'produce', 'cool', 'design']",motivation game engage game produce cool design,0.802,0.535,0.0,0.465
A6_G6,A6,G,G6,"shame, discovery, bewilderment",shame discovery bewilderment,"['shame', 'discovery', 'bewilderment']",shame discovery bewilderment,-0.4767,0.0,0.608,0.392
A6_G7,A6,G,G7,"outcome: moves the story along, player sees what happens after immediate action, in the end player sees all other possible scenarios",outcome moves the story along player sees what happens after immediate action in the end player sees all other possible scenarios,"['outcome', 'move', 'story', 'player', 'see', 'happen', 'immediate', 'action', 'end', 'player', 'see', 'possible', 'scenario']",outcome move story player see happen immediate action end player see possible scenario,0.0,0.0,0.0,1.0
A6_G8,A6,G,G8,"multi choice thing, time-pressure, feedback at end",multi choice thing time pressure feedback at end,"['multi', 'choice', 'thing', 'time', 'pressure', 'feedback', 'end']",multi choice thing time pressure feedback end,-0.29600000000000004,0.0,0.239,0.7609999999999999
A6_G9,A6,G,G9,"discomfort, curiosity, vulnerability",discomfort curiosity vulnerability,"['discomfort', 'curiosity', 'vulnerability']",discomfort curiosity vulnerability,-0.5719,0.0,0.825,0.175
B1_G1,B1,G,G1,open mindedness; self reflection; innovation,open mindedness self reflection innovation,"['open', 'mindedness', 'self', 'reflection', 'innovation']",open mindedness self reflection innovation,0.3818,0.39399999999999996,0.0,0.606
B1_G2,B1,G,G2,Mostly flat but with different phases,mostly flat but with different phases,"['flat', 'different', 'phase']",flat different phase,0.0,0.0,0.0,1.0
B1_G3,B1,G,G3,good faith,good faith,"['good', 'faith']",good faith,0.6908,1.0,0.0,0.0
B1_G4,B1,G,G4,voting on their response,voting on their response,"['vote', 'response']",vote response,0.0,0.0,0.0,1.0
B1_G5,B1,G,G5,providing responses Feedback: response of the group time limit: twenty seconds for honesty rounds one minute for consensus,providing responses feedback response of the group time limit twenty seconds for honesty rounds one minute for consensus,"['provide', 'response', 'feedback', 'response', 'group', 'time', 'limit', 'second', 'honesty', 'round', 'minute', 'consensus']",provide response feedback response group time limit second honesty round minute consensus,0.4939,0.158,0.0,0.8420000000000001
B1_G6,B1,G,G6,Card game: apples to apples,card game apples to apples,"['card', 'game', 'apple', 'apple']",card game apple apple,0.0,0.0,0.0,1.0
B2_G1,B2,G,G1,card game,card game,"['card', 'game']",card game,0.0,0.0,0.0,1.0
B2_G2,B2,G,G2,"empathy, comedy laughter, frustration",empathy comedy laughter frustration,"['empathy', 'comedy', 'laughter', 'frustration']",empathy comedy laughter frustration,0.3818,0.5820000000000001,0.316,0.102
B2_G3,B2,G,G3,best team player; haunted theme park where things threaten your survival; gaining medals extra points; pride of winning if teams are made of groups within the same community region,best team player haunted theme park where things threaten your survival gaining medals extra points pride of winning if teams are made of groups within the same community region,"['good', 'team', 'player', 'haunt', 'theme', 'park', 'thing', 'threaten', 'survival', 'gain', 'medal', 'extra', 'point', 'pride', 'win', 'team', 'group', 'community', 'region']",good team player haunt theme park thing threaten survival gain medal extra point pride win team group community region,0.7964,0.308,0.13699999999999998,0.5539999999999999
B2_G4,B2,G,G4,multiple levels of difficulty to choose from - different stacks of cards,multiple levels of difficulty to choose from different stacks of cards,"['multiple', 'level', 'difficulty', 'choose', 'different', 'stack', 'card']",multiple level difficulty choose different stack card,-0.34,0.0,0.19399999999999998,0.8059999999999999
B2_G5,B2,G,G5,gain lose points for individual team,gain lose points for individual team,"['gain', 'lose', 'point', 'individual', 'team']",gain lose point individual team,0.1779,0.337,0.267,0.396
B2_G6,B2,G,G6,"play a card or not (trip the zombie, do nothing)",play a card or not trip the zombie do nothing,"['play', 'card', 'not', 'trip', 'zombie']",play card not trip zombie,0.34,0.21100000000000002,0.0,0.789
B3_G1,B3,G,G1,levels yes,levels yes,"['level', 'yes']",level yes,0.4019,0.73,0.0,0.27
B3_G2,B3,G,G2,interactive video game,interactive video game,"['interactive', 'video', 'game']",interactive video game,0.0,0.0,0.0,1.0
B3_G3,B3,G,G3,contemplative; thought provoking; exciting;,contemplative thought provoking exciting,"['contemplative', 'thought', 'provoke', 'exciting']",contemplative thought provoke exciting,0.34,0.457,0.257,0.28600000000000003
B3_G4,B3,G,G4,outcomes of how people experience different policing / player gets worse options via progression / different storylines with positive negative outcomes,outcomes of how people experience different policing player gets worse options via progression different storylines with positive negative outcomes,"['outcome', 'people', 'experience', 'different', 'policing', 'player', 'get', 'bad', 'option', 'progression', 'different', 'storyline', 'positive', 'negative', 'outcome']",outcome people experience different policing player get bad option progression different storyline positive negative outcome,-0.4939,0.136,0.258,0.606
B3_G5,B3,G,G5,become emotionally invested / game 'cash'' to buy things in life to succeed / with accomplishment surprises / twists /  consequences to prevent /,become emotionally invested game cash to buy things in life to succeed with accomplishment surprises twists consequences to prevent,"['emotionally', 'invest', 'game', 'cash', 'buy', 'thing', 'life', 'succeed', 'accomplishment', 'surprise', 'twist', 'consequence', 'prevent']",emotionally invest game cash buy thing life succeed accomplishment surprise twist consequence prevent,0.6369,0.27899999999999997,0.0,0.721
B3_G6,B3,G,G6,actions to match real-world time limitations / feedback is on successful outcomes / good actions that have negative consequences / level up to fast forward through time,actions to match real world time limitations feedback is on successful outcomes good actions that have negative consequences level up to fast forward through time,"['action', 'match', 'real', 'world', 'time', 'limitation', 'feedback', 'successful', 'outcome', 'good', 'action', 'negative', 'consequence', 'level', 'fast', 'forward', 'time']",action match real world time limitation feedback successful outcome good action negative consequence level fast forward time,0.4588,0.207,0.114,0.679
B4_G1,B4,G,G1,Fantasy,fantasy,['fantasy'],fantasy,0.0,0.0,0.0,1.0
B4_G2,B4,G,G2,opportunity to play the game several times from a different character,opportunity to play the game several times from a different character,"['opportunity', 'play', 'game', 'time', 'different', 'character']",opportunity play game time different character,0.6369,0.366,0.0,0.634
B4_G3,B4,G,G3,Empathy Fear,empathy fear,"['empathy', 'fear']",empathy fear,-0.4939,0.0,0.762,0.23800000000000002
B4_G4,B4,G,G4,No levels,no levels,"['no', 'level']",no level,-0.29600000000000004,0.0,0.688,0.312
B4_G5,B4,G,G5,each scenario card has a set of actions  and time limit,each scenario card has a set of actions and time limit,"['scenario', 'card', 'set', 'action', 'time', 'limit']",scenario card set action time limit,0.0,0.0,0.0,1.0
B4_G6,B4,G,G6,Indignation,indignation,['indignation'],indignation,-0.5267,0.0,1.0,0.0
B4_G7,B4,G,G7,Frustration,frustration,['frustration'],frustration,-0.4767,0.0,1.0,0.0
B4_G8,B4,G,G8,You can source feedback but no interactions with other players,you can source feedback but no interactions with other players,"['source', 'feedback', 'no', 'interaction', 'player']",source feedback no interaction player,-0.4215,0.0,0.237,0.763
B4_G9,B4,G,G9,each action has various outcomes such as (jail death fines verbal warrants etc.),each action has various outcomes such as jail death fines verbal warrants etc,"['action', 'outcome', 'jail', 'death', 'fine', 'verbal', 'warrant', 'etc']",action outcome jail death fine verbal warrant etc,-0.5994,0.0,0.245,0.755
B4_G10,B4,G,G10,Curiosity,curiosity,['curiosity'],curiosity,0.0,0.0,0.0,1.0
B5_G1,B5,G,G1,Outcomes: each card that you choose changes the outcome of the game,outcomes each card that you choose changes the outcome of the game,"['outcome', 'card', 'choose', 'change', 'outcome', 'game']",outcome card choose change outcome game,0.0,0.0,0.0,1.0
B5_G2,B5,G,G2,Internal motivation; sustained motivation through...?,internal motivation sustained motivation through,"['internal', 'motivation', 'sustain', 'motivation']",internal motivation sustain motivation,0.5859,0.615,0.0,0.385
B5_G3,B5,G,G3,"Choosing cards, and each card changes the outcome of the game (choose-your-own-adventure style) Time limit: No? Feedback: Yes, to encourage learning",choosing cards and each card changes the outcome of the game choose your own adventure style time limit no feedback yes to encourage learning,"['choose', 'card', 'card', 'change', 'outcome', 'game', 'choose', 'adventure', 'style', 'time', 'limit', 'no', 'feedback', 'yes', 'encourage', 'learn']",choose card card change outcome game choose adventure style time limit no feedback yes encourage learn,0.2828,0.18600000000000003,0.14800000000000002,0.665
B5_G4,B5,G,G4,"The player could be anyone (law enforcement, general public)",the player could be anyone law enforcement general public,"['player', 'law', 'enforcement', 'general', 'public']",player law enforcement general public,0.0,0.0,0.0,1.0
B5_G5,B5,G,G5,"Evoke reflection, empathy, discomfort (growth)",evoke reflection empathy discomfort growth,"['evoke', 'reflection', 'empathy', 'discomfort', 'growth']",evoke reflection empathy discomfort growth,-0.0516,0.31,0.33299999999999996,0.35700000000000004
B5_G6,B5,G,G6,"Yes, levels",yes levels,"['yes', 'level']",yes level,0.4019,0.73,0.0,0.27
B5_G7,B5,G,G7,A serious video game,a serious video game,"['video', 'game']",video game,-0.0772,0.0,0.302,0.698
B6_G1,B6,G,G1,"Shift role throughout the game, may start as police officer and then switch to different identities at different levels",shift role throughout the game may start as police officer and then switch to different identities at different levels,"['shift', 'role', 'game', 'start', 'police', 'officer', 'switch', 'different', 'identity', 'different', 'level']",shift role game start police officer switch different identity different level,0.0,0.0,0.0,1.0
B6_G2,B6,G,G2,Type of game: role playing table top game (virtual capability),type of game role playing table top game virtual capability,"['type', 'game', 'role', 'playing', 'table', 'game', 'virtual', 'capability']",type game role playing table game virtual capability,0.3818,0.31,0.0,0.69
B6_G3,B6,G,G3,idea,idea,['idea'],idea,0.0,0.0,0.0,1.0
B6_G4,B6,G,G4,"After a stop, options of typical actions (discussion-based)",after a stop options of typical actions discussion based,"['stop', 'option', 'typical', 'action', 'discussion', 'base']",stop option typical action discussion base,-0.29600000000000004,0.0,0.21600000000000003,0.784
B6_G5,B6,G,G5,There is a problem that needs to be solved that would benefit both sides if solved. Collective score motivates sustained engagement.,there is a problem that needs to be solved that would benefit both sides if solved collective score motivates sustained engagement,"['problem', 'need', 'solve', 'benefit', 'side', 'solve', 'collective', 'score', 'motivate', 'sustained', 'engagement']",problem need solve benefit side solve collective score motivate sustained engagement,0.7579,0.353,0.09300000000000001,0.5539999999999999
B6_G6,B6,G,G6,Emotions: empathy,emotions empathy,"['emotion', 'empathy']",emotion empathy,0.0,0.0,0.0,1.0
